NodeID,PathIDs,TotalCost
79,79.0 91.0 330.0 329.0 388.0 389.0 387.0 130.0 385.0 126.0 120.0 93.0 94.0 112.0 109.0 97.0 98.0 100.0 286.0 283.0,1246.8367220090047
396,396.0 407.0 403.0 398.0 399.0 69.0 404.0 71.0 132.0 74.0 63.0 12.0 504.0 291.0 292.0 421.0 89.0 476.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,1430.435312748511
381,381.0 383.0 488.0 487.0 506.0 93.0 94.0 112.0 109.0 97.0 98.0 100.0 286.0 283.0,772.3066058637597
484,484.0 483.0 124.0 231.0 360.0 125.0 123.0 475.0 474.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,1002.6669450658372
301,301.0 305.0,1163.4812471463563
451,451.0 190.0 450.0 191.0 193.0 401.0 397.0 400.0 396.0 407.0 403.0 398.0 399.0 69.0 404.0 71.0 132.0 74.0 63.0 12.0 504.0 291.0 292.0 421.0 89.0 476.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,1835.139514740723
410,410.0 146.0 330.0 329.0 388.0 389.0 387.0 130.0 385.0 126.0 120.0 93.0 94.0 112.0 109.0 97.0 98.0 100.0 286.0 283.0,1725.8182551728266
156,156.0 194.0 16.0 23.0 9.0 157.0 25.0 11.0 40.0 66.0 18.0 19.0 47.0 4.0 152.0 159.0 41.0 399.0 69.0 404.0 71.0 132.0 74.0 63.0 12.0 504.0 291.0 292.0 421.0 89.0 476.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,2051.898615354142
237,237.0 129.0 387.0 130.0 385.0 126.0 120.0 93.0 94.0 112.0 109.0 97.0 98.0 100.0 286.0 283.0,997.103304150644
50,50.0 188.0 24.0 46.0 13.0 137.0 56.0 1.0 18.0 19.0 47.0 4.0 152.0 159.0 41.0 399.0 69.0 404.0 71.0 132.0 74.0 63.0 12.0 504.0 291.0 292.0 421.0 89.0 476.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,2006.4507587961737
366,366.0 375.0 367.0 372.0 379.0 377.0 378.0 105.0 104.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,758.9278719188079
234,234.0 238.0 489.0 490.0 124.0 231.0 360.0 125.0 123.0 475.0 474.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,951.4139537317463
2,2.0 55.0 77.0 76.0 122.0 391.0 130.0 385.0 126.0 120.0 93.0 94.0 112.0 109.0 97.0 98.0 100.0 286.0 283.0,1161.9107327310417
43,43.0 472.0 22.0 141.0 468.0 36.0 135.0 89.0 476.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,1270.1538155196026
390,390.0 483.0 124.0 231.0 360.0 125.0 123.0 475.0 474.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,975.955887295005
59,59.0 8.0 34.0 22.0 141.0 468.0 36.0 135.0 89.0 476.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,1273.8464236356513
501,501.0 503.0 489.0 490.0 124.0 231.0 360.0 125.0 123.0 475.0 474.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,959.890586696967
99,99.0 96.0 97.0 98.0 100.0 286.0 283.0,307.8767341498194
209,209.0 210.0 208.0 420.0 145.0 216.0 222.0 254.0 219.0 353.0 342.0 343.0 333.0 341.0 312.0 329.0 388.0 389.0 387.0 130.0 385.0 126.0 120.0 93.0 94.0 112.0 109.0 97.0 98.0 100.0 286.0 283.0,1955.1305496759533
479,479.0 480.0 226.0 228.0 231.0 360.0 125.0 123.0 475.0 474.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,842.9593738064074
298,298.0 508.0 113.0 510.0 299.0 515.0 115.0 119.0 408.0 302.0 303.0 306.0,1690.735435791955
84,84.0 83.0 332.0 311.0 81.0 312.0 329.0 388.0 389.0 387.0 130.0 385.0 126.0 120.0 93.0 94.0 112.0 109.0 97.0 98.0 100.0 286.0 283.0,1259.1113615421416
229,229.0 126.0 120.0 93.0 94.0 112.0 109.0 97.0 98.0 100.0 286.0 283.0,769.9787003517027
428,428.0 267.0 290.0 266.0 259.0 431.0 167.0 393.0 427.0 73.0 171.0 214.0 208.0 420.0 145.0 216.0 222.0 254.0 219.0 353.0 342.0 343.0 333.0 341.0 312.0 329.0 388.0 389.0 387.0 130.0 385.0 126.0 120.0 93.0 94.0 112.0 109.0 97.0 98.0 100.0 286.0 283.0,3385.2701707672836
507,507.0 506.0 93.0 94.0 112.0 109.0 97.0 98.0 100.0 286.0 283.0,719.2352511314774
504,504.0 291.0 292.0 421.0 89.0 476.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,960.5882369271425
1,1.0 18.0 19.0 47.0 4.0 152.0 159.0 41.0 399.0 69.0 404.0 71.0 132.0 74.0 63.0 12.0 504.0 291.0 292.0 421.0 89.0 476.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,1657.9810412288157
407,407.0 403.0 398.0 399.0 69.0 404.0 71.0 132.0 74.0 63.0 12.0 504.0 291.0 292.0 421.0 89.0 476.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,1380.4969951268793
107,107.0 95.0 100.0 286.0 283.0,208.01488221752632
286,286.0 283.0,87.56184901177366
101,101.0 110.0 98.0 100.0 286.0 283.0,378.2790792426921
